iter	Passed	Remaining
0	1	122
1	2	106
2	2	96
3	3	87
4	4	83
5	5	81
6	6	80
7	6	79
8	7	77
9	8	77
10	9	75
11	10	74
12	11	73
13	12	74
14	13	76
15	14	77
16	15	75
17	16	74
18	17	72
19	17	71
20	18	70
21	19	69
22	20	67
23	21	66
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	27	65
30	28	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	39	49
44	39	48
45	41	48
46	42	47
47	43	46
48	44	45
49	45	45
50	46	44
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	51	37
58	52	36
59	53	35
60	54	34
61	56	34
62	57	33
63	58	32
64	59	31
65	59	30
66	60	29
67	61	28
68	62	28
69	63	27
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	72	18
80	73	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	86	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
