iter	Passed	Remaining
0	133	133669
1	134	67272
2	135	45147
3	136	34039
4	137	27348
5	138	22894
6	138	19712
7	139	17320
8	140	15457
9	141	13964
10	141	12744
11	142	11747
12	144	10938
13	144	10206
14	145	9563
15	146	9008
16	147	8514
17	147	8072
18	148	7677
19	149	7320
20	150	6998
21	150	6704
22	151	6438
23	152	6194
24	153	5968
25	153	5758
26	154	5563
27	155	5383
28	155	5213
29	156	5056
30	157	4910
31	158	4780
32	159	4661
33	160	4546
34	160	4434
35	161	4326
36	162	4223
37	162	4125
38	163	4032
39	164	3945
40	165	3863
41	165	3783
42	166	3707
43	167	3633
44	167	3563
45	168	3497
46	169	3432
47	170	3373
48	170	3317
49	171	3263
50	172	3212
51	173	3166
52	174	3119
53	175	3071
54	176	3024
55	176	2979
56	177	2936
57	178	2894
58	178	2853
59	179	2813
60	180	2775
61	181	2740
62	181	2704
63	182	2670
64	183	2636
65	184	2604
66	184	2572
67	185	2541
68	186	2511
69	186	2482
70	187	2457
71	188	2433
72	189	2407
73	190	2382
74	191	2356
75	191	2331
76	192	2309
77	193	2288
78	194	2265
79	195	2243
80	195	2221
81	196	2199
82	196	2175
83	197	2155
84	198	2135
85	199	2116
86	199	2096
87	200	2077
88	201	2059
89	202	2042
90	203	2028
91	203	2013
92	204	1996
93	205	1980
94	206	1964
95	206	1948
96	207	1932
97	208	1917
98	209	1903
99	209	1889
100	210	1875
101	211	1861
102	212	1847
103	212	1833
104	213	1820
105	214	1807
106	215	1794
107	215	1782
108	216	1770
109	217	1761
110	218	1752
111	219	1740
112	220	1728
113	220	1716
114	221	1705
115	222	1693
116	222	1681
117	223	1671
118	224	1660
119	224	1649
120	225	1639
121	226	1628
122	226	1618
123	227	1608
124	228	1598
125	229	1588
126	229	1578
127	230	1568
128	230	1559
129	232	1556
130	233	1549
131	234	1541
132	235	1533
133	235	1524
134	236	1516
135	237	1508
136	238	1500
137	239	1493
138	239	1486
139	240	1478
140	241	1471
141	242	1462
142	242	1455
143	243	1447
144	244	1440
145	245	1434
146	246	1428
147	247	1423
148	248	1417
149	249	1411
150	249	1404
151	250	1398
152	251	1391
153	252	1385
154	252	1378
155	253	1372
156	254	1366
157	255	1360
158	256	1354
159	256	1348
160	257	1341
161	258	1335
162	258	1329
163	259	1324
164	260	1319
165	261	1315
166	262	1310
167	263	1304
168	264	1299
169	265	1293
170	265	1288
171	266	1283
172	267	1278
173	268	1273
174	269	1268
175	269	1263
176	270	1258
177	271	1253
178	272	1248
179	273	1244
180	274	1239
181	274	1235
182	275	1230
183	276	1226
184	277	1221
185	278	1216
186	278	1212
187	279	1207
188	280	1205
189	281	1200
190	282	1196
191	283	1191
192	284	1187
193	284	1183
194	285	1178
195	286	1174
196	287	1171
197	288	1166
198	288	1162
199	289	1158
200	290	1154
201	291	1151
202	292	1147
203	293	1143
204	293	1139
205	294	1135
206	295	1131
207	296	1127
208	296	1123
209	297	1119
210	298	1115
211	299	1111
212	299	1108
213	300	1104
214	301	1100
215	302	1097
216	303	1094
217	304	1092
218	305	1090
219	306	1087
220	307	1083
221	308	1080
222	308	1076
223	309	1073
224	310	1069
225	311	1066
226	312	1063
227	312	1059
228	313	1055
229	314	1052
230	315	1049
231	316	1046
232	316	1043
233	317	1039
234	318	1036
235	319	1033
236	320	1031
237	321	1028
238	322	1025
239	322	1022
240	323	1019
241	324	1015
242	325	1012
243	325	1009
244	326	1006
245	327	1003
246	328	1001
247	329	998
248	330	995
249	330	992
250	331	990
251	332	987
252	333	984
253	334	983
254	335	981
255	336	978
256	337	976
257	338	973
258	339	970
259	340	967
260	340	965
261	341	962
262	342	960
263	343	957
264	344	954
265	345	952
266	345	949
267	346	947
268	347	944
269	348	942
270	349	940
271	350	937
272	351	935
273	352	932
274	352	930
275	353	927
276	354	925
277	355	922
278	356	920
279	357	918
280	357	915
281	358	913
282	359	910
283	360	908
284	360	905
285	361	903
286	362	900
287	363	899
288	364	897
289	365	895
290	366	893
291	367	890
292	368	888
293	369	886
294	369	884
295	370	881
296	371	879
297	372	877
298	373	874
299	373	872
300	374	870
301	375	867
302	376	865
303	377	863
304	377	861
305	378	859
306	379	857
307	380	854
308	381	852
309	382	850
310	382	848
311	383	846
312	384	844
313	385	842
314	386	840
315	387	838
316	388	836
317	388	833
318	389	831
319	390	829
320	391	827
321	391	825
322	392	823
323	393	821
324	394	819
325	395	817
326	396	815
327	397	813
328	397	811
329	398	809
330	399	807
331	400	804
332	400	803
333	401	801
334	402	799
335	403	796
336	403	794
337	404	792
338	405	790
339	406	788
340	407	786
341	408	785
342	409	783
343	409	781
344	410	779
345	411	777
346	412	775
347	412	773
348	413	771
349	414	769
350	415	767
351	415	765
352	416	763
353	417	761
354	418	759
355	418	757
356	419	755
357	420	753
358	421	752
359	422	750
360	423	749
361	424	747
362	425	745
363	425	744
364	426	742
365	427	740
366	428	738
367	429	736
368	429	735
369	430	733
370	431	731
371	432	730
372	433	728
373	434	726
374	435	725
375	435	723
376	436	721
377	437	720
378	438	719
379	439	717
380	440	716
381	441	715
382	442	713
383	444	712
384	445	710
385	446	709
386	447	708
387	448	706
388	449	705
389	450	704
390	452	704
391	453	703
392	454	701
393	455	700
394	456	698
395	457	697
396	458	696
397	459	694
398	460	693
399	461	692
400	462	691
401	463	689
402	464	688
403	465	687
404	467	686
405	468	685
406	469	684
407	470	683
408	472	682
409	473	681
410	474	679
411	475	678
412	476	677
413	477	675
414	478	674
415	479	672
416	480	671
417	481	670
418	482	669
419	483	667
420	484	666
421	485	665
422	486	663
423	487	662
424	488	661
425	489	660
426	490	658
427	491	657
428	493	656
429	494	655
430	495	654
431	496	653
432	498	652
433	499	650
434	500	649
435	501	648
436	502	647
437	503	645
438	504	644
439	505	643
440	506	641
441	507	640
442	508	639
443	509	637
444	510	636
445	511	635
446	512	634
447	513	633
448	514	631
449	515	630
450	516	629
451	517	627
452	519	626
453	520	625
454	521	624
455	522	622
456	523	622
457	524	621
458	525	619
459	526	618
460	527	617
461	528	615
462	529	614
463	530	613
464	531	611
465	533	610
466	534	609
467	535	608
468	536	607
469	537	605
470	538	604
471	540	604
472	541	602
473	541	601
474	542	600
475	543	598
476	544	597
477	545	596
478	546	594
479	547	593
480	549	592
481	550	591
482	551	589
483	552	588
484	553	587
485	554	586
486	555	585
487	556	584
488	557	583
489	559	582
490	560	580
491	561	579
492	562	578
493	563	577
494	564	576
495	565	575
496	567	574
497	568	573
498	569	572
499	570	570
500	572	570
501	573	569
502	574	567
503	575	566
504	576	565
505	577	563
506	578	562
507	579	560
508	579	559
509	581	558
510	582	557
511	583	556
512	584	554
513	585	553
514	585	551
515	586	550
516	587	548
517	588	547
518	589	546
519	590	544
520	590	543
521	591	541
522	592	540
523	593	538
524	594	537
525	594	536
526	595	534
527	596	533
528	598	532
529	598	531
530	599	529
531	600	528
532	601	526
533	601	525
534	602	523
535	603	522
536	604	521
537	605	519
538	606	518
539	606	516
540	607	515
541	608	514
542	609	512
543	610	511
544	611	510
545	612	508
546	612	507
547	613	506
548	614	504
549	615	503
550	616	502
551	616	500
552	617	499
553	618	497
554	619	496
555	620	495
556	620	493
557	621	492
558	622	491
559	623	489
560	624	488
561	625	487
562	626	486
563	627	484
564	627	483
565	628	482
566	629	480
567	630	479
568	631	477
569	631	476
570	632	475
571	633	473
572	634	472
573	634	471
574	635	469
575	636	468
576	637	467
577	637	465
578	638	464
579	639	463
580	640	461
581	641	460
582	642	459
583	643	458
584	644	457
585	645	455
586	646	454
